quote,author,source
“The thing about lips is that you always want to kiss them.”,Anthony T. Hincks,
"“You could've had anyone in the world, but you chose me.",Anthony T. Hincks,
"“Hold fast to the mountain, take root in a broken-up bluff, grow stronger after tribulations, and withstand the buffering wind from all directions.”",Zheng Xie,
"“When God was handing out stupidity, man made sure that he was at the head of the line because he wanted to be the best at everything.”",Anthony T. Hincks,
“My depth has no depth”,Mohadesa Najumi,
"“Let's say I have a mystical soul and a rational brain, and, like Montaigne, I am incapable of choosing between them. I don't know if I believe in God, but I am often tempted to believe.”",Francois Mitterrand,Memoir in Two Voices
"“The chief danger to our philosophy, apart from laziness and woolliness, is scholasticism, the essence of which is treating what is vague as if it were precise and trying to fit it into an exact logical category.”",Frank P Ramsey,
"“People say everybody has a book inside them, so why not make your life a great story?”",martha louise hunter,
“Time throws you out of its dimensionless planar like a boomerang. It unites with you again in death.”,Vishwanath S J,
"“When the mind is free, magic happens.”",C.G. Rousing,
"“Comprehending and knowing better and deeper are the best guarantees we can have to attain ideas and criteria of our own; i.e. to stop depending on what other people say. In summary, to be freer to choose our own path in life.”",Manuel Toharia-Cortés,"Galloping with Light - Einstein, Relativity, and Folklore"
"“Pretend you are foolish to the foolish, and be yourself when you are alone or with others like you, because if you take the foolish seriously as your friend, you might be a fool yourself.”",A Gentlemen,
“A loud smile is often a fake laugh.”,Saahil Prem,
“لو قال كل إنسان ما يفكر فيه بصدق فإن الحوار بين البشر يصبح قصيراً جداً.”,كونفوشيوس,
“The best way to have a good idea is to have a lot of ideas.”,Dr. Linus Pauling,
"“There are two ways of constructing a piece of software: One is to make it so simple that there are obviously no errors, and the other is to make it so complicated that there are no obvious errors.”",Tony Hoare,
"“If chance be the Father of all flesh,",Steve Turner,Poems
“What is left when honor is lost?”,Publilius Syrus,
“What i took away from witnessing the broken climbers in Moshi was this: *Everything is easy until it isn't.*”,Josh Gates,Destination Truth: Memoirs of a Monster Hunter
"“But here steps in Satan, the eternal rebel, the first freethinker and the emancipator of worlds. He makes man ashamed of his bestial ignorance and obedience; he emancipates him, stamps upon his brow the seal of liberty and humanity, in urging him to disobey and eat of the fruit of knowledge.”",Bakunin Mikhail Aleksandrovich,
"“I bargained with Life for a penny,",Jessie B. Rittenhouse,
“The bird of paradise alights only upon the hand that does not grasp.”,John Berry,
"“The scepticism which men affect towards their higher inspirations is often not an honest doubt, but a guilty negligence, and is a sign of narrow mind and defective wisdom.”",James Martineau,Tides of the Spirit: Selections from the Writings of James Martineau
"“What information consumes is rather obvious: it consumes the attention of its recipients. Hence a wealth of information creates a poverty of attention, and a need to allocate that attention efficiently among the overabundance of information sources that might consume it.”",Herbert Simon,
"“Vanity of vanities, says the Preacher,",Anonymous,Holy Bible: King James Version
“The slope contains many wonders not found at the summit.”,Marty Rubin,
"“In mathematics or physics, infinity is greater than one or two or any number countable. In how many ways can the world be destroyed based on ordered knowledge? You may be able to count this. But the truth is, you “really” don’t know. These possibilities in your mind hold a set of unpredictable orders. One effect may be causative of another of another. It could be a culmination of effects you know as events where events are sets and subsets of potential possibilities.",Dew Platt,The Rudeness of Soul
